S.No.,Title,Company Name,Package,Job sector,Package Interval,CTC Currency,Years,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Education criteria
1,GRADUATE ENGINEER TRAINEE,Coforge,425000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2024,Online test,Technical interview,HR interview,-,-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
"
2,Business Analyst (Intern) (for 2025 batch),Kreative Kode,35000,OTHER,MONTH,INR,2024,Technical interview (0),HR interview (0),-,-,-,-,"MBA (Semester)
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in PG
		60.0% marks in UG
"
3,Research Analyst (Intern),Kreative Kode,22000,OTHER,MONTH,INR,2024,Technical interview (0),HR interview (0),-,-,-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
B.Com (Hons.)
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
BBA
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
BA
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
BCA
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
B.Sc
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
B.Sc (Hons)
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
"
4,GRADUATE ENGINEER TRAINEE,Watchguard Technologies India Pvt Limited,943556,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2024,Pre-placement Talk (0),Technical interview (0),HR interview (0),-,-,-,"B.Tech
	Applicants must have scored
		75.0% marks in CLASS X
		75.0% marks in CLASS XII
		75.0% marks in DIP
		75.0% marks in UG
"
5,Summer Intern (2025 batch),Beyond Finance,40000,OTHER,MONTH,INR,2024,Resume shortlisting (0),Technical interview (0),HR interview (0),-,-,-,"B.Tech
	All students of B.Tech are eligible
MBA
	All students of MBA are eligible
B.Com (Hons.)
	All students of B.Com (Hons.) are eligible
BA
	All students of BA are eligible
MBA (Semester)
	All students of MBA (Semester) are eligible
MA
	All students of MA are eligible
BBA
	All students of BBA are eligible
"
6,SoftwareEngineer Intern,NI (National Instruments),45000,ENGINEERING,MONTH,INR,2024,Online test (0),Technical interview (0),-,-,-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
"
7,Intern,Shubhashray Housing India,25000,ENGINEERING_CIVIL_MECHANICAL_OTHER,MONTH,INR,2024,Technical interview (0),HR interview (0),-,-,-,-,"M.Tech.
	All students of M.Tech. are eligible
B.Tech
	All students of B.Tech are eligible
"
8,Intern (Analyst Trainee),Axtria,500000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2024,Attendance sheet (30),Online test (2),Technical interview (2),HR interview (2),-,-,"B.Tech
	Applicants must have scored
		90.0% marks in CLASS X
		80.0% marks in CLASS XII
		80.0% marks in DIP
		80.0% marks in UG
M.Tech.
	Applicants must have scored
		90.0% marks in CLASS X
		80.0% marks in CLASS XII
		80.0% marks in DIP
		80.0% marks in PG
		80.0% marks in UG
"
9,Software Developer Intern,CRTD Technologies Pvt. Ltd.,35000,"ENGINEERING,OTHER",MONTH,INR,2024,Pre-placement Talk (102),Group discussion (100),Online test (7),HR interview (0),-,-,"B.Sc
	All students of B.Sc are eligible
M.Tech.
	All students of M.Tech. are eligible
BCA
	All students of BCA are eligible
M.Sc.
	All students of M.Sc. are eligible
MCA
	All students of MCA are eligible
B.Tech
	All students of B.Tech are eligible
"
10,Full Time,OneBanc Technologies Pvt Ltd,800000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2024,Group Discussion (55),Technical interview (12),Aptitude Assessment (3),2 days for a Pre-Hiring Evaluation (0),-,-,"B.Tech
	Applicants must have scored
		65.0% marks in CLASS X
		65.0% marks in CLASS XII
		65.0% marks in UG
"
11,Industrial Trainee,LG Electronics India Pvt Ltd.,25000,ENGINEERING,MONTH,INR,2024,Technical interview (2),-,-,-,-,-,"M.Tech.
	All students of M.Tech. are eligible
B.Tech
	All students of B.Tech are eligible
"
12,1.	Application Designer (Configurator)    2.	Java Developer   3.	Database Developer,Decimal Technologies,10000,"ENGINEERING,OTHER",MONTH,INR,2024,Technical interview (0),Technical interview (0),-,-,-,-,"B.Tech
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in UG
MCA
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in DUAL
		70.0% marks in PG
		70.0% marks in UG
BCA
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in UG
"
13,1. Frontend & App Developer    2. Backend Developer,Agrigravity Technologies,500000,ENGINEERING,ANNUM,INR,2024,Technical interview (0),Technical interview (0),Technical interview (0),-,-,-,"B.Tech
	All students of B.Tech are eligible
"
14,1.Frontend Developer     2. Full Stack Developer,Affordmed,800000,ENGINEERING,ANNUM,INR,2024,Online test (1),Technical interview (0),Technical interview (0),-,-,-,"B.Tech
	All students of B.Tech are eligible
"
15,Associate Software Developer,STRATEGYZ Inc,1800000,ENGINEERING,ANNUM,INR,2024,Online test (0),Technical interview (0),-,-,-,-,"B.Tech
	All students of B.Tech are eligible
"
16,Graduate Engineer Trainee,Agrawal Metal Works Private Limited (AMW),567684,OPERATIONS_PRODUCTION,ANNUM,INR,2024,Technical interview (0),HR interview (0),-,-,-,-,"B.Tech
	Applicants must have scored
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in UG
"
17,Software Engineer Intern,Mediology Software Pvt. Ltd.,475000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2024,Resume shortlisting (15),Appreaed (12),Written test (0),Technical interview (0),HR interview (0),-,"B.Tech
	Applicants must have scored
		75.0% marks in CLASS X
		75.0% marks in CLASS XII
		75.0% marks in DIP
		75.0% marks in UG
"
18,Intern,Lutron India,480000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2024,Technical interview (0),HR interview (0),-,-,-,-,"B.Tech
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in UG
"
19,Associate Engineer,"Cloud4C, a CtrlS Datacenters Ltd",400000,ENGINEERING,ANNUM,INR,2024,Online test (0),Pre-placement Talk (0),Technical interview (0),HR interview (0),Technical interview (0),-,"B.Tech
	Applicants must have scored
		75.0% marks in CLASS X
		75.0% marks in CLASS XII
		75.0% marks in DIP
		75.0% marks in UG
"
20,Programmer Analyst,Argusoft India Ltd.,712000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2024,Appeared for Online test (209),Online test (42),Problem solving Test (5),CEO Round (1),HR interview (1),-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
MCA
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in PG
		60.0% marks in UG
M.Tech.
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in PG
		60.0% marks in UG
"
21,Operations Associate (2025 Batch),Indus Valley Partners,450000,FINANCE,ANNUM,INR,2024,Group discussion (0),Technical interview (0),HR interview (0),-,-,-,"MBA (Semester)
	All students of MBA (Semester) are eligible
"
22,Software Development Engineer,Juspay Technologies Pvt Ltd,2700000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2024,Online Assessment- Coding (0),One more online assessment as per their roles. (0),Hackathon of one day (0),Final Interview (0),Pre-placement Talk (0),-,"B.Tech
	All students of B.Tech are eligible
"
23,Patent Engineer,Lakshmikumaran & Sridharan,0,"ENGINEERING,OTHER",ANNUM,INR,2024,ATENDEE (46),Technical interview (17),Group discussion (7),Technical interview (0),-,-,"B.Tech
	Applicants must have scored
		85.0% marks in CLASS X
		85.0% marks in CLASS XII
		85.0% marks in DIP
		75.0% marks in UG
M.Sc.
	Applicants must have scored
		85.0% marks in CLASS X
		85.0% marks in CLASS XII
		85.0% marks in DIP
		75.0% marks in UG
"
24,Intern,Vivnovation,600000,"ENGINEERING,OTHER",ANNUM,INR,2024,Online test (0),Technical interview (0),-,-,-,-,"B.Tech
	All students of B.Tech are eligible
BA
	All students of BA are eligible
MBA (Semester)
	All students of MBA (Semester) are eligible
MBA
	All students of MBA are eligible
B.D.S
	All students of B.D.S are eligible
M.D.S
	All students of M.D.S are eligible
"
25,ASSOCIATE SOFTWARE ENGINEER,ServiceNow,4300000,ENGINEERING,ANNUM,INR,2024,Online test (8),Technical interview (0),Technical interview (0),HR interview (0),-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
"
26,Software engineering Interns,NI (National Instruments),45000,ENGINEERING,MONTH,INR,2024,Online test (0),Technical interview (0),-,-,-,-,"B.Tech
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
M.Tech.
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
"
27,GRADUATE ENGINEER TRAINEE,Coforge,425000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2024,"Online test ( (Aptitude, MCQ Technical/Communication test)) (80)",Technical interview (24),HR interview (24),-,-,-,"B.Tech
	Applicants must have scored
		65.0% marks in CLASS X
		65.0% marks in CLASS XII
		65.0% marks in DIP
		65.0% marks in UG
"
28,Junior Associate,Coforge,290000,OTHER,ANNUM,INR,2024,Online test (3),Technical interview (2),HR interview (2),-,-,-,"BBA
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
B.Com (Hons.)
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
BCA
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
B.Sc
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
"
29,Management trainee,Coforge,450000,ACCOUNTING,ANNUM,INR,2024,Online test (0),Virtual  interview (0),HR interview (0),-,-,-,"MBA (Semester)
	Applicants must have scored
		65.0% marks in CLASS X
		65.0% marks in CLASS XII
		65.0% marks in DIP
		65.0% marks in PG
		64.5% marks in UG
"
30,Operations Associate (2025 Batch),Indus Valley Partners,450000,FINANCE,ANNUM,INR,2024,Group discussion (0),Technical interview (0),HR interview (0),-,-,-,"MBA (Semester)
	All students of MBA (Semester) are eligible
"
31,Software Engineer,QSS Technosoft Private Limited,600000,"ENGINEERING,OTHER",ANNUM,INR,2024,Online test (25),Technical interview (5),HR interview (5),-,-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
MCA
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in DUAL
		60.0% marks in PG
		60.0% marks in UG
M.Tech.
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in DUAL
		60.0% marks in PG
		60.0% marks in UG
"
32,Software Development  & Software Quality Assurance/Automation,Commvault,3400000,ENGINEERING,ANNUM,INR,2024,Pre-placement Talk (101),Online test (100),Online test (0),Technical interview (0),HR interview (0),-,"B.Tech
	Applicants must have scored
		70.0% marks in UG
"
33,DataOps Engineer,MAQ Software,36000,ENGINEERING,MONTH,INR,2024,ATTENDEE (97),Online test (0),Technical interview (0),HR interview (0),-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
"
34,Product Support Intern,Ui Path,1770000,ENGINEERING,ANNUM,INR,2024,Online test (2),Technical interview (1),Group discussion (1),Technical interview (1),-,-,"B.Tech
	Applicants must have scored
		80.0% marks in UG
"
35,"Sales Intern, Business Development Executive (FT), MERN Developer (FT), Social Media Executive (FT)",McKinley Rice,600000,"ENGINEERING,OTHER",ANNUM,INR,2024,Online test (2),Online test (2),Technical interview (0),-,-,-,"B.Tech
	All students of B.Tech are eligible
"
36,Graduate Engineer,AtkinsRéalis,570000,ENGINEERING,ANNUM,INR,2024,Online test (0),Group discussion (0),Technical interview (0),HR interview (0),-,-,"B.Tech
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in UG
M.Tech.
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in DUAL
		70.0% marks in PG
		70.0% marks in UG
"
37,GRADUATE ENGINEER TRAINEE,Qikfox Inc,540000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2024,Shortlisting from Company Side (60),Written Test (1),Technical interview (1),HR interview (1),-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
MCA
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in PG
		60.0% marks in UG
"
38,Associate Product Engineer (Fullstack Developer),DeltaX,700000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2024,Appeared for Online test (226),Online Technical MCQ (7),Online Coding Assessment (0),Technical interview (0),HR interview (0),-,"B.Tech
	Applicants must have scored
		50.0% marks in CLASS X
		50.0% marks in CLASS XII
		50.0% marks in DIP
		50.0% marks in UG
"
39,Devops & Cyber Security Intern,Gocomet,800000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2024,Technical interview (0),HR interview (0),-,-,-,-,"B.Tech
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		69.0% marks in UG
"
40,Devops & Cyber Security Intern,Gocomet,800000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2024,Technical interview,HR interview,-,-,-,-,NA
41,QA Intern,Gocomet,450000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2024,Technical interview (0),HR interview (0),-,-,-,-,"B.Tech
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in UG
"
42,"1. Software Developer (PHP) 2. Frontend Developer (React.js, Javascript)",Shipglobal,500000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2024,Technical interview (0),HR interview (0),-,-,-,-,"B.Tech
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in UG
"
43,Operations,AQUATIC FREIGHTS PVT LTD (INDIA),300000,OTHER,ANNUM,INR,2024,Interview (0),Technical interview (0),HR interview (0),-,-,-,"BA (Hons.)
	All students of BA (Hons.) are eligible
BCA
	All students of BCA are eligible
BBA
	All students of BBA are eligible
B.Com
	All students of B.Com are eligible
"
44,Associate Software Engineer,MAQ Software,25000,ENGINEERING,MONTH,INR,2024,Resume shortlisted (119),Online test (0),Technical interview (0),-,-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
M.Tech.
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in DUAL
		60.0% marks in PG
		60.0% marks in UG
"
45,Patent Analyst Intern,Sagacious Ip,550000,ENGINEERING_CIVIL_MECHANICAL_OTHER,ANNUM,INR,2024,Shortlisted by the company (4),Technical interview (3),Technical interview 2 (1),HR interview (0),-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
M.Tech.
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in PG
		60.0% marks in UG
"
46,Application Engineer,Ultratech Cement Ltd,22000,ENGINEERING,MONTH,INR,2024,Technical interview (0),-,-,-,-,-,"B.Tech
	All students of B.Tech are eligible
"
47,"Technical Sales, Engineering & Manufacturing",Bosch Limited,37500,ENGINEERING,ANNUM,INR,2024,Online test (1),Technical interview (0),-,-,-,-,"B.Tech
	Applicants must have scored
		65.0% marks in CLASS X
		65.0% marks in CLASS XII
		65.0% marks in DIP
		65.0% marks in UG
"
48,Frontend Developer & Backend Developer (Intern),Axeno Consulting Private Limited,550000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2024,Online test (208),Online test shortlisted (23),Technical interview (1),HR interview (1),-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		70.0% marks in UG
M.Tech.
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		70.0% marks in PG
		60.0% marks in UG
MCA
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		70.0% marks in PG
		60.0% marks in UG
"
49,Business Intern (Delivery),British Telecom (BT),600000,OTHER,ANNUM,INR,2024,Pre-placement Talk (60),Online test (12),Technical interview (3),HR interview (3),-,-,"BBA
	Applicants must have scored
		65.0% marks in UG
"
50,Business Intern (Managed Services & Customer Solutions and Design),British Telecom (BT),892000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2024,Pre-placement Talk (210),Online test (31),Technical interview (6),HR interview (6),-,-,"B.Tech
	Applicants must have scored
		65.0% marks in UG
"
51,Software Engineer  with IBM Systems (female candidates),IBM,1100000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2024,Coding Assessment (0),Technical interview (0),HR interview (0),-,-,-,"B.Tech
	Applicants must have scored
		70.0% marks in UG
M.Tech.
	Applicants must have scored
		70.0% marks in PG
MCA
	Applicants must have scored
		70.0% marks in PG
"
52,Trainee - Scientific Officer,Panacea Bioetec Pvt Ltd,360000,"CHEMIST_CHEMICAL,RESEARCH",ANNUM,INR,2024,Online test Attendance (17),Online test (12),Technical interview (6),Technical interview 2 (6),HR interview (6),-,"B.Tech
	All students of B.Tech are eligible
B.Sc
	All students of B.Sc are eligible
M.Sc.
	All students of M.Sc. are eligible
M.Tech.
	All students of M.Tech. are eligible
B.Sc (Hons)
	All students of B.Sc (Hons) are eligible
"
53,IPRD Intern (Electronics & Mech Research),Evalueserve,500000,OTHER,ANNUM,INR,2024,Online test (16),Technical interview (6),HR interview (3),-,-,-,"B.Tech
	All students of B.Tech are eligible
"
54,Consulting Intern,Crowe Horwath IT Services LLP,600000,ENGINEERING_WEB_SOFTWARE,ANNUM,INR,2024,Online test (37),Appeared in Group Discussion (31),Group discussion (2),Technical interview (2),HR interview (2),-,"MCA
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in PG
		70.0% marks in UG
B.Tech
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in UG
M.Tech.
	Applicants must have scored
		70.0% marks in CLASS X
		70.0% marks in CLASS XII
		70.0% marks in DIP
		70.0% marks in PG
		70.0% marks in UG
"
55,IPRD Biotechnology Intern,Evalueserve,500000,OTHER,ANNUM,INR,2024,Online test (3),Technical interview (2),HR interview (2),-,-,-,"M.Tech.
	All students of M.Tech. are eligible
B.Tech
	All students of B.Tech are eligible
"
56,Product Analyst/Digital Marketing Champion & Business Operations Analyst,DeltaX,400000,OTHER,ANNUM,INR,2024,Online assessment (14),Technical interview (2),Technical interview 2 (1),HR interview (0),-,-,"B.Tech
	All students of B.Tech are eligible
BBA
	All students of BBA are eligible
BA
	All students of BA are eligible
B.Com (Hons.)
	All students of B.Com (Hons.) are eligible
B.Sc (Hons)
	All students of B.Sc (Hons) are eligible
BCA
	All students of BCA are eligible
B.Sc
	All students of B.Sc are eligible
"
57,Associate Software Engineer,MAQ Software,36000,ENGINEERING,MONTH,INR,2024,Online test (0),Technical interview (0),Technical interview (0),-,-,-,"B.Tech
	Applicants must have scored
		60.0% marks in CLASS X
		60.0% marks in CLASS XII
		60.0% marks in DIP
		60.0% marks in UG
"
